Index,RawL,RawR,ConvL,ConvR,MaxRL,MaxRR,MaxCL,MaxCR,IdxL,IdxR,VelL,VelR,NoiseL,NoiseR
0, -0.070240, -0.069760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
1,  0.030760,  0.008240,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
2,  0.032760,  0.008240,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
3,  0.036760,  0.007240,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
4,  0.040760,  0.005240,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
5,  0.042760,  0.003240,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
6,  0.043760,  0.001240,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
7,  0.044760, -0.000760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
8,  0.044760, -0.001760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
9,  0.044760, -0.003760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
10,  0.044760, -0.005760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
11,  0.044760, -0.007760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
12,  0.045760, -0.008760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
13,  0.045760, -0.010760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
14,  0.045760, -0.012760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
15,  0.045760, -0.013760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
16,  0.045760, -0.016760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
17,  0.045760, -0.016760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
18,  0.048760, -0.017760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
19,  0.049760, -0.019760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
20,  0.049760, -0.021760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
21,  0.050760, -0.021760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
22,  0.050760, -0.022760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
23,  0.052760, -0.021760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
24,  0.054760, -0.022760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
25,  0.056760, -0.022760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
26,  0.057760, -0.024760,  0.000000,  0.000000,  2.055240,  0.097240,  0.001000,  0.000020,801.000000,  0.000000,4804.022949,  0.000000,  0.151760,  0.054240
