Id,Index,Encoder,Position,Lab UPT,AmpL,AmpR,SnrL,SnrR,NoiL,NoiR,avgUPT,UPTCnt,IdxL,IdxR,UptL,UptR,UPT-Total,VelL,VelR,SkewL,SkewT,GLenL,GLenR,FreqL,FreqR,ZFAvgL,ZFAvgR,ZStdL,ZStdR,FFreqL,FFreqR,FZFAvgL,FZFAvgR,FZStdL,FZStdR
296193,22,1933890995,6.4059,,1.9667,1.14215,19.8056,16.517,0.0993,0.06915,444.92,165,0,782,0,223.429,223.429,0,4950.02,0.272988,0.181993,0,43.5423,0,0,0,0,0,0,0,0,0,0,0,0
296193,23,1933891005,6.68202,,1.96345,0.76159,20.7882,20.3579,0.09445,0.03741,444.92,165,0,773,0,220.857,220.857,0,5034.36,0.272988,0.181993,0,43.7746,0,0,0,0,0,0,0,0,0,0,0,0
296193,24,1933891015,6.95814,,2.00582,0.56685,25.6564,11.3031,0.07818,0.05015,444.92,165,0,907,0,259.143,259.143,0,4015.58,0.272988,0.181993,0,40.9688,0,0,0,0,0,0,0,0,0,0,0,0
296193,25,1933891026,7.26187,,2.02357,0.65477,27.9383,12.781,0.07243,0.05123,444.92,165,0,783,0,223.714,223.714,0,4940.82,0.272988,0.181993,0,43.517,0,0,0,0,0,0,0,0,0,0,0,0
296193,26,1933891041,7.67604,,1.95488,0.83778,21.0474,14.7548,0.09288,0.05678,444.92,165,0,773,0,220.857,220.857,0,5034.36,0.272988,0.181993,0,43.7746,0,0,0,0,0,0,0,0,0,0,0,0
296193,27,1933891055,8.0626,,1.66572,1.01089,29.8945,12.9419,0.05572,0.07811,444.92,165,0,0,0,0,0,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,28,1933891062,8.25588,,1.18829,0.73245,13.2459,8.99263,0.08971,0.08145,444.92,165,832,784,237.714,224,461.714,4549.22,4931.65,0.272988,0.181993,42.5754,43.4918,0,0,0,0,0,0,0,0,0,0,0,0
296193,29,1933891072,8.532,,0.84926,0.98993,10.6504,11.1316,0.07974,0.08893,444.92,165,849,0,242.571,0,242.571,4420.64,0,0.272988,0.181993,42.2174,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,30,1933891080,8.75289,,1.40671,1.04252,24.133,19.4936,0.05829,0.05348,444.92,165,856,0,244.571,0,244.571,4369.79,0,0.272988,0.181993,42.0758,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,31,1933891086,8.91856,,1.80664,0.70467,21.9359,9.87901,0.08236,0.07133,444.92,165,0,793,0,226.571,226.571,0,4850.68,0.272988,0.181993,0,43.2688,0,0,0,0,0,0,0,0,0,0,0,0
296193,32,1933891099,9.27752,,1.70428,0.61355,25.1666,12.3824,0.06772,0.04955,444.92,165,881,791,251.714,226,477.714,4197.33,4868.45,0.272988,0.181993,41.5956,43.3177,0,0,0,0,0,0,0,0,0,0,0,0
296193,33,1933891108,9.52602,,1.16963,1.0031,14.8751,9.19432,0.07863,0.1091,444.92,165,860,0,245.714,0,245.714,4341.25,0,0.272988,0.181993,41.9963,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,34,1933891120,9.85736,,0.87302,0.66974,14.7919,8.78232,0.05902,0.07626,444.92,165,868,793,248,226.571,474.571,4285.27,4850.68,0.272988,0.181993,41.8405,43.2688,0,0,0,0,0,0,0,0,0,0,0,0
296193,35,1933891129,10.1059,,0.86081,0.81383,9.76086,22.0969,0.08819,0.03683,444.92,165,888,779,253.714,222.571,476.286,4151.46,4977.82,0.272988,0.181993,41.4679,43.6189,0,0,0,0,0,0,0,0,0,0,0,0
296193,36,1933891143,10.4924,,1.65229,1.15015,11.1423,23.4008,0.14829,0.04915,444.92,165,888,807,253.714,230.571,484.286,4151.46,4729.88,0.272988,0.181993,41.4679,42.9361,0,0,0,0,0,0,0,0,0,0,0,0
296193,37,1933891150,10.6857,,2.0301,1.03735,15.1387,19.4442,0.1341,0.05335,444.92,165,898,817,256.571,233.429,490,4087.64,4647.22,0.272988,0.181993,41.2902,42.7084,0,0,0,0,0,0,0,0,0,0,0,0
296193,38,1933891167,11.1551,,2.05104,1.06613,14.3389,16.1217,0.14304,0.06613,444.92,165,909,815,259.714,232.857,492.571,4019.66,4663.52,0.272988,0.181993,41.1009,42.7533,0,0,0,0,0,0,0,0,0,0,0,0
296193,39,1933891176,11.4036,,2.03603,0.71482,13.7542,7.75461,0.14803,0.09218,444.92,165,903,779,258,222.571,480.571,4056.46,4977.82,0.272988,0.181993,41.2034,43.6189,0,0,0,0,0,0,0,0,0,0,0,0
296193,40,1933891189,11.7626,,1.81007,0.99336,36.2522,14.5313,0.04993,0.06836,444.92,165,907,803,259.143,229.429,488.571,4031.85,4763.78,0.272988,0.181993,41.1349,43.0294,0,0,0,0,0,0,0,0,0,0,0,0
296193,41,1933891202,12.1215,,1.34028,0.92673,12.3278,20.0287,0.10872,0.04627,444.92,165,893,820,255.143,234.286,489.429,4119.3,4622.98,0.272988,0.181993,41.3784,42.6417,0,0,0,0,0,0,0,0,0,0,0,0
296193,42,1933891211,12.37,,1.33981,0.89923,10.4518,13.5774,0.12819,0.06623,444.92,165,0,805,0,230,230,0,4746.77,0.272988,0.181993,0,42.9826,0,0,0,0,0,0,0,0,0,0,0,0
296193,43,1933891224,12.729,,1.50852,0.72701,16.8512,16.5192,0.08952,0.04401,444.92,165,1063,799,303.714,228.286,532,3260.56,4798.17,0.272988,0.181993,38.9873,43.1241,0,0,0,0,0,0,0,0,0,0,0,0
296193,44,1933891237,13.0879,,1.49394,0.60303,20.4818,10.0555,0.07294,0.05997,444.92,165,1062,795,303.429,227.143,530.571,3264.56,4833.05,0.272988,0.181993,38.9985,43.2202,0,0,0,0,0,0,0,0,0,0,0,0
296193,45,1933891246,13.3364,,1.32855,0.7921,13.9188,12.1674,0.09545,0.0651,444.92,165,1057,789,302,225.429,527.429,3284.73,4886.34,0.272988,0.181993,39.0546,43.367,0,0,0,0,0,0,0,0,0,0,0,0
296193,46,1933891257,13.6402,,0.60512,0.62823,10.0652,9.48558,0.06012,0.06623,444.92,165,1051,793,300.286,226.571,526.857,3309.26,4850.68,0.272988,0.181993,39.1229,43.2688,0,0,0,0,0,0,0,0,0,0,0,0
296193,47,1933891265,13.8611,,0.46304,0.59981,4.06033,8.7169,0.11404,0.06881,444.92,165,1031,0,294.571,0,294.571,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,48,1933891273,14.0819,,1.56813,0.76626,11.6046,10.117,0.13513,0.07574,444.92,165,873,781,249.429,223.143,472.571,4251.02,4959.25,0.272988,0.181993,41.7451,43.5677,0,0,0,0,0,0,0,0,0,0,0,0
296193,49,1933891286,14.4409,,0.93079,0.75087,10.0311,12.6986,0.09279,0.05913,444.92,165,0,795,0,227.143,227.143,0,4833.05,0.272988,0.181993,0,43.2202,0,0,0,0,0,0,0,0,0,0,0,0
296193,50,1933891298,14.7722,,1.2467,0.59947,21.2385,7.44406,0.0587,0.08053,444.92,165,843,796,240.857,227.429,468.286,4465.19,4824.28,0.272988,0.181993,42.3414,43.196,0,0,0,0,0,0,0,0,0,0,0,0
296193,51,1933891309,15.076,,1.29798,0.56043,12.0206,9.43009,0.10798,0.05943,444.92,165,828,789,236.571,225.429,462,4580.57,4886.34,0.272988,0.181993,42.6627,43.367,0,0,0,0,0,0,0,0,0,0,0,0
296193,52,1933891324,15.4901,,1.96085,0.48981,21.0505,9.83357,0.09315,0.04981,444.92,165,0,789,0,225.429,225.429,0,4886.34,0.272988,0.181993,0,43.367,0,0,0,0,0,0,0,0,0,0,0,0
296193,53,1933891334,15.7663,,1.92168,0.56645,21.0434,6.39695,0.09132,0.08855,444.92,165,0,729,0,208.286,208.286,0,5491.88,0.272988,0.181993,0,45.0346,0,0,0,0,0,0,0,0,0,0,0,0
