Index,RawL,RawR,ConvL,ConvR,MaxRL,MaxRR,MaxCL,MaxCR,IdxL,IdxR,VelL,VelR,NoiseL,NoiseR
0, -0.259240,  0.105490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
1, -0.018240,  0.005490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
2, -0.017240,  0.006490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
3, -0.014240,  0.006490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
4, -0.012240,  0.006490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
5, -0.012240,  0.005490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
6, -0.012240,  0.004490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
7, -0.011240,  0.004490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
8, -0.010240,  0.003490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
9, -0.007240,  0.003490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
10, -0.006240,  0.003490,  0.000000,  0.000000,  1.980240,  1.387490,  0.001000,  0.000690,742.000000,718.000000,5377.233398,5619.550293,  0.080240,  0.048510
